query_id,category,avg_runtime_ms,priority,priority_score,join_type,rows_examined,index_coverage,has_filesort,has_full_scan,reasons
Q073,aggregation,175.88,HIGH,1.0,ALL,639,0.5,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q082,aggregation,339.15,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q074,aggregation,6.55,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q075,aggregation,382.06,HIGH,1.0,ALL,148469,0.5,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,469)"
Q076,aggregation,167.94,HIGH,1.0,ALL,19924,0.75,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q078,aggregation,895.75,HIGH,1.0,ALL,19948,0.5,True,True,Full table scan detected; Slow query (896ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q079,aggregation,64.77,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q080,aggregation,351.97,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q081,aggregation,166.39,HIGH,1.0,ALL,19925,0.8,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q112,aggregation,57.68,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q114,aggregation,6.78,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q115,aggregation,278.21,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q160,aggregation,183.81,HIGH,1.0,ALL,110844,0.4,True,True,"Full table scan detected; Low index coverage (40%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (110,844)"
Q152,aggregation,1192.52,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Slow query (1193ms > 500ms threshold); Low index coverage (0%); Using filesort (ORDER BY not using index); High rows examined (594,745)"
Q153,aggregation,261.33,HIGH,1.0,ALL,1189490,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (1,189,490)"
Q155,aggregation,219.59,HIGH,1.0,ALL,221044,0.5,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (221,044)"
Q156,aggregation,290.25,HIGH,1.0,ALL,1189490,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (1,189,490)"
Q157,aggregation,1105.73,HIGH,1.0,ALL,615470,0.333,True,True,"Full table scan detected; Slow query (1106ms > 500ms threshold); Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (615,470)"
Q158,aggregation,102.37,HIGH,1.0,ALL,82490,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index)
Q159,aggregation,250.02,HIGH,1.0,ALL,296931,0.333,True,True,"Full table scan detected; Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (296,931)"
Q161,aggregation,183.98,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); High rows examined (148,465)"
Q116,aggregation,27.37,HIGH,1.0,ALL,82490,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q162,aggregation,124.57,HIGH,1.0,ALL,164982,0.5,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (164,982)"
Q163,aggregation,1694.95,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Slow query (1695ms > 500ms threshold); Low index coverage (0%); Using filesort (ORDER BY not using index); High rows examined (148,465)"
Q164,aggregation,628.25,HIGH,1.0,ALL,82491,0.5,True,True,Full table scan detected; Slow query (628ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q165,aggregation,197.12,HIGH,1.0,ALL,221044,0.5,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (221,044)"
Q166,aggregation,405.02,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q168,aggregation,63.02,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q169,aggregation,297.34,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q147,aggregation,1.01,HIGH,1.0,ALL,1001,0.5,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q146,aggregation,69.01,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q143,aggregation,636.17,HIGH,1.0,ALL,757090,0.333,True,True,"Full table scan detected; Slow query (636ms > 500ms threshold); Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (757,090)"
Q140,aggregation,70.31,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q118,aggregation,7.53,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q119,aggregation,126.8,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q122,aggregation,64041.66,HIGH,1.0,ALL,39838,0.0,True,True,Full table scan detected; Slow query (64042ms > 500ms threshold); Low index coverage (0%); Using filesort (ORDER BY not using index)
Q123,aggregation,208.64,HIGH,1.0,ALL,82493,0.5,True,True,Full table scan detected; Using filesort (ORDER BY not using index)
Q125,aggregation,678.06,HIGH,1.0,ALL,595383,0.6,True,True,"Full table scan detected; Slow query (678ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (595,383)"
Q126,aggregation,41.91,HIGH,1.0,ALL,19948,0.5,False,True,Full table scan detected
Q127,aggregation,25.89,HIGH,1.0,ALL,163358,0.667,False,True,"Full table scan detected; High rows examined (163,358)"
Q128,aggregation,54.2,HIGH,1.0,ALL,235316,0.333,True,True,"Full table scan detected; Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (235,316)"
Q130,aggregation,118.21,HIGH,1.0,ALL,82492,0.667,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q131,aggregation,41.17,HIGH,1.0,ALL,296930,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (296,930)"
Q132,aggregation,942.8,HIGH,1.0,ALL,1189491,0.333,True,True,"Full table scan detected; Slow query (943ms > 500ms threshold); Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (1,189,491)"
Q133,aggregation,46.28,HIGH,1.0,ALL,296930,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (296,930)"
Q137,aggregation,152.34,HIGH,1.0,ALL,163375,0.667,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (163,375)"
Q138,aggregation,285.88,HIGH,1.0,ALL,1189490,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (1,189,490)"
Q139,aggregation,32.07,HIGH,1.0,ALL,39848,0.333,True,True,Full table scan detected; Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table
Q063,aggregation,292.59,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q062,aggregation,115.07,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q061,aggregation,152.84,HIGH,1.0,ALL,148466,0.5,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,466)"
Q188,three_table_joins,715.99,HIGH,1.0,ALL,148471,0.75,True,True,"Full table scan detected; Slow query (716ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,471)"
Q174,three_table_joins,190.49,HIGH,1.0,ALL,639,0.5,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q176,three_table_joins,384.53,HIGH,1.0,ALL,638,0.75,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q178,three_table_joins,881.58,HIGH,1.0,ALL,19950,0.75,True,True,Full table scan detected; Slow query (882ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q179,three_table_joins,227.07,HIGH,1.0,ALL,148467,0.667,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,467)"
Q182,three_table_joins,162.11,HIGH,1.0,ALL,639,0.5,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q183,three_table_joins,1011.15,HIGH,1.0,ALL,594748,0.75,True,True,"Full table scan detected; Slow query (1011ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,748)"
Q185,three_table_joins,1026.44,HIGH,1.0,ALL,297380,0.8,True,True,"Full table scan detected; Slow query (1026ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (297,380)"
Q002,single_table_filters,263.32,HIGH,1.0,ALL,148465,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (148,465)"
Q002,aggregation,123.77,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (594,745)"
Q191,three_table_joins,1190.37,HIGH,1.0,ALL,594750,0.833,True,True,"Full table scan detected; Slow query (1190ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,750)"
Q192,three_table_joins,513.24,HIGH,1.0,ALL,643,0.6,True,True,Full table scan detected; Slow query (513ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q193,three_table_joins,488.22,HIGH,1.0,ALL,148470,0.667,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,470)"
Q194,three_table_joins,3422.91,HIGH,1.0,ALL,1215,0.667,True,True,Full table scan detected; Slow query (3423ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q196,three_table_joins,196.0,HIGH,1.0,ALL,639,0.5,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q197,three_table_joins,1641.16,HIGH,1.0,ALL,1248967,0.667,True,True,"Full table scan detected; Slow query (1641ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (1,248,967)"
Q199,three_table_joins,68.28,HIGH,1.0,ALL,297552,0.5,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (297,552)"
Q172,three_table_joins,140.82,HIGH,1.0,ALL,19925,0.8,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q170,three_table_joins,165.08,HIGH,1.0,ALL,644,0.667,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q169,three_table_joins,878.58,HIGH,1.0,ALL,148473,0.833,True,True,"Full table scan detected; Slow query (879ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,473)"
Q168,three_table_joins,161.23,HIGH,1.0,ALL,644,0.667,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q150,three_table_joins,184.82,HIGH,1.0,ALL,644,0.667,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q152,three_table_joins,108.18,HIGH,1.0,ALL,82498,0.6,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q153,three_table_joins,1643.62,HIGH,1.0,ALL,638,0.75,True,True,Full table scan detected; Slow query (1644ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q154,three_table_joins,99.68,HIGH,1.0,ALL,82521,0.25,True,True,Full table scan detected; Low index coverage (25%); Using filesort (ORDER BY not using index); Using temporary table
Q155,three_table_joins,616.34,HIGH,1.0,ALL,148471,0.75,True,True,"Full table scan detected; Slow query (616ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,471)"
Q156,three_table_joins,6.04,HIGH,1.0,ALL,639,0.5,False,True,Full table scan detected
Q157,three_table_joins,29.2,HIGH,1.0,ALL,639,0.5,False,True,Full table scan detected
Q159,three_table_joins,220.92,HIGH,1.0,ALL,595380,0.6,False,True,"Full table scan detected; High rows examined (595,380)"
Q161,three_table_joins,25.52,HIGH,1.0,ALL,639,0.5,False,True,Full table scan detected
Q162,three_table_joins,756.07,HIGH,1.0,ALL,743218,0.667,True,True,"Full table scan detected; Slow query (756ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (743,218)"
Q163,three_table_joins,12.46,HIGH,1.0,ALL,83492,0.5,True,True,Full table scan detected; Using filesort (ORDER BY not using index)
Q164,three_table_joins,5.75,HIGH,1.0,ALL,15892,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q165,three_table_joins,220.85,HIGH,1.0,ALL,644,0.667,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q166,three_table_joins,18.36,HIGH,1.0,ALL,634,0.667,True,True,Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table
Q167,three_table_joins,121.79,HIGH,1.0,ALL,639,0.5,False,True,Full table scan detected; Using temporary table
Q200,three_table_joins,2627.88,HIGH,1.0,ALL,647,0.778,True,True,Full table scan detected; Slow query (2628ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q003,aggregation,2.19,HIGH,1.0,ALL,14892,0.0,False,True,Full table scan detected; Low index coverage (0%)
Q058,aggregation,134.87,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q045,aggregation,39.0,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q038,aggregation,196.72,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q039,aggregation,196.75,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q040,aggregation,224.87,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); Using temporary table; High rows examined (594,745)"
Q041,aggregation,0.68,HIGH,1.0,ALL,1000,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q042,aggregation,10.03,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q043,aggregation,40.24,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q044,aggregation,134.49,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); Using temporary table; High rows examined (594,745)"
Q048,aggregation,3.96,HIGH,1.0,ALL,14892,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q004,aggregation,4.0,HIGH,1.0,ALL,19919,0.0,False,True,Full table scan detected; Low index coverage (0%)
Q049,aggregation,5.1,HIGH,1.0,ALL,14892,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q050,aggregation,228.0,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q051,aggregation,5.03,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q052,aggregation,6.25,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q055,aggregation,182.06,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q056,aggregation,5.22,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q057,aggregation,48.0,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q037,aggregation,37.56,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q035,aggregation,26.21,HIGH,1.0,ALL,82490,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q034,aggregation,5.37,HIGH,1.0,ALL,19919,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q029,aggregation,101.89,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (594,745)"
Q005,aggregation,81.84,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (594,745)"
Q007,aggregation,83.13,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (594,745)"
Q009,aggregation,8.8,HIGH,1.0,ALL,82490,0.0,False,True,Full table scan detected; Low index coverage (0%)
Q010,aggregation,9.82,HIGH,1.0,ALL,82490,0.0,False,True,Full table scan detected; Low index coverage (0%)
Q012,aggregation,84.92,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (594,745)"
Q013,aggregation,81.27,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (594,745)"
Q014,aggregation,82.32,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (594,745)"
Q015,aggregation,3.41,HIGH,1.0,ALL,19919,0.0,False,True,Full table scan detected; Low index coverage (0%)
Q016,aggregation,112.82,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (594,745)"
Q017,aggregation,2.2,HIGH,1.0,ALL,14892,0.0,False,True,Full table scan detected; Low index coverage (0%)
Q020,aggregation,2.61,HIGH,1.0,ALL,14892,0.0,False,True,Full table scan detected; Low index coverage (0%)
Q021,aggregation,32.15,HIGH,1.0,ALL,148465,0.0,False,True,"Full table scan detected; Low index coverage (0%); Using temporary table; High rows examined (148,465)"
Q022,aggregation,133.32,HIGH,1.0,ALL,594745,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (594,745)"
Q026,aggregation,25.56,HIGH,1.0,ALL,148465,0.0,False,True,"Full table scan detected; Low index coverage (0%); High rows examined (148,465)"
Q028,aggregation,0.33,HIGH,1.0,ALL,1000,0.0,False,True,Full table scan detected; Low index coverage (0%)
Q170,aggregation,1.15,HIGH,1.0,ALL,1000,0.0,True,True,Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table
Q171,aggregation,48.3,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q173,aggregation,68.64,HIGH,1.0,ALL,148465,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,465)"
Q128,complex_queries,1250.91,HIGH,1.0,ALL,1189490,0.0,True,True,"Full table scan detected; Slow query (1251ms > 500ms threshold); Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (1,189,490)"
Q119,complex_queries,1194.18,HIGH,1.0,ALL,19948,0.5,True,True,Full table scan detected; Slow query (1194ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table
Q121,complex_queries,224.51,HIGH,1.0,ALL,1784236,0.25,True,True,"Full table scan detected; Low index coverage (25%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (1,784,236)"
Q122,complex_queries,168.31,HIGH,1.0,ALL,296931,0.333,True,True,"Full table scan detected; Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (296,931)"
Q123,complex_queries,330.04,HIGH,1.0,ALL,594745,0.0,True,True,"Full table scan detected; Low index coverage (0%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (594,745)"
Q125,complex_queries,177.52,HIGH,1.0,ALL,148476,0.667,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (148,476)"
Q126,complex_queries,170.44,HIGH,1.0,ALL,296931,0.667,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (296,931)"
Q127,complex_queries,191.68,HIGH,1.0,ALL,110844,0.4,True,True,"Full table scan detected; Low index coverage (40%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (110,844)"
Q129,complex_queries,1056.11,HIGH,1.0,ALL,615470,0.333,True,True,"Full table scan detected; Slow query (1056ms > 500ms threshold); Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (615,470)"
Q141,complex_queries,1410.82,HIGH,1.0,ALL,757090,0.667,True,True,"Full table scan detected; Slow query (1411ms > 500ms threshold); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (757,090)"
Q131,complex_queries,1071.22,HIGH,1.0,ALL,757090,0.333,True,True,"Full table scan detected; Slow query (1071ms > 500ms threshold); Low index coverage (33%); Using filesort (ORDER BY not using index); Using temporary table; High rows examined (757,090)"
Q132,complex_queries,89.31,HIGH,1.0,ALL,164981,0.667,True,True,"Full table scan detected; Using filesort (ORDER BY not using index); Using temporary table; High rows examined (164,981)"
