query_id,category,avg_runtime_ms,priority,priority_score,has_full_scan,has_filesort,index_coverage,rows_examined
Q130,complex_queries,2463.59,HIGH,1.0,False,True,1.0,594745
Q162,aggregation,124.57,HIGH,1.0,True,True,0.5,164982
Q127,aggregation,25.89,HIGH,1.0,True,False,0.667,163358
Q135,aggregation,991.96,HIGH,1.0,True,False,0.714,1190126
Q134,aggregation,434.92,HIGH,1.0,True,True,0.667,757090
Q181,aggregation,657.25,HIGH,1.0,True,True,0.0,594745
Q133,aggregation,46.28,HIGH,1.0,True,True,0.0,296930
Q182,aggregation,82.49,HIGH,1.0,True,True,0.667,14910
Q132,aggregation,942.8,HIGH,1.0,True,True,0.333,1189491
Q131,aggregation,41.17,HIGH,1.0,True,True,0.0,296930
Q165,aggregation,197.12,HIGH,1.0,True,True,0.5,221044
Q130,aggregation,118.21,HIGH,1.0,True,True,0.667,82492
Q166,aggregation,405.02,HIGH,1.0,True,True,0.0,594745
Q183,aggregation,60.77,HIGH,1.0,True,True,0.667,644
Q128,aggregation,54.2,HIGH,1.0,True,True,0.333,235316
Q126,aggregation,41.91,HIGH,1.0,True,False,0.5,19948
Q138,aggregation,285.88,HIGH,1.0,True,True,0.0,1189490
Q125,aggregation,678.06,HIGH,1.0,True,True,0.6,595383
Q184,aggregation,119.82,HIGH,1.0,True,False,0.0,594745
Q123,aggregation,208.64,HIGH,1.0,True,True,0.5,82493
Q168,aggregation,63.02,HIGH,1.0,True,True,0.0,148465
Q122,aggregation,64041.66,HIGH,1.0,True,True,0.0,39838
Q121,aggregation,36.03,HIGH,1.0,True,True,0.667,445395
Q119,aggregation,126.8,HIGH,1.0,True,True,0.0,594745
Q185,aggregation,192.61,HIGH,1.0,True,True,0.667,296931
Q118,aggregation,7.53,HIGH,1.0,True,True,0.0,19919
Q186,aggregation,161.65,HIGH,1.0,True,True,0.667,82492
Q169,aggregation,297.34,HIGH,1.0,True,True,0.0,594745
Q188,aggregation,195.67,HIGH,1.0,True,True,0.667,82492
Q189,aggregation,373.89,HIGH,1.0,True,True,0.667,634
Q190,aggregation,1308.49,HIGH,1.0,True,True,0.5,19948
Q137,aggregation,152.34,HIGH,1.0,True,True,0.667,163375
Q139,aggregation,32.07,HIGH,1.0,True,True,0.333,39848
Q161,aggregation,183.98,HIGH,1.0,True,True,0.0,148465
Q164,aggregation,628.25,HIGH,1.0,True,True,0.5,82491
Q160,aggregation,183.81,HIGH,1.0,True,True,0.4,110844
Q159,aggregation,250.02,HIGH,1.0,True,True,0.333,296931
Q158,aggregation,102.37,HIGH,1.0,True,True,0.0,82490
Q157,aggregation,1105.73,HIGH,1.0,True,True,0.333,615470
Q156,aggregation,290.25,HIGH,1.0,True,True,0.0,1189490
Q155,aggregation,219.59,HIGH,1.0,True,True,0.5,221044
Q154,aggregation,192.64,HIGH,1.0,True,True,0.5,296930
Q153,aggregation,261.33,HIGH,1.0,True,True,0.0,1189490
Q152,aggregation,1192.52,HIGH,1.0,True,True,0.0,594745
Q150,aggregation,138.58,HIGH,1.0,True,True,0.5,296930
Q116,aggregation,27.37,HIGH,1.0,True,True,0.0,82490
Q147,aggregation,1.01,HIGH,1.0,True,True,0.5,1001
Q146,aggregation,69.01,HIGH,1.0,True,True,0.0,148465
Q163,aggregation,1694.95,HIGH,1.0,True,True,0.0,148465
Q143,aggregation,636.17,HIGH,1.0,True,True,0.333,757090
Q171,aggregation,48.3,HIGH,1.0,True,True,0.0,148465
Q173,aggregation,68.64,HIGH,1.0,True,True,0.0,148465
Q174,aggregation,7.78,HIGH,1.0,True,False,0.0,14892
Q175,aggregation,1655.22,HIGH,1.0,True,True,0.5,19948
Q176,aggregation,286.24,HIGH,1.0,True,True,0.0,594745
Q177,aggregation,89.66,HIGH,1.0,True,True,0.0,148465
Q141,aggregation,1.13,HIGH,1.0,True,True,0.2,4001
Q178,aggregation,317.55,HIGH,1.0,True,False,0.0,594745
Q170,aggregation,1.15,HIGH,1.0,True,True,0.0,1000
Q140,aggregation,70.31,HIGH,1.0,True,True,0.0,148465
Q179,aggregation,63.06,HIGH,1.0,True,True,0.333,235316
Q180,aggregation,59.16,HIGH,1.0,True,True,0.0,296930
Q149,aggregation,481.19,HIGH,1.0,True,True,0.8,757092
Q105,aggregation,9.54,HIGH,1.0,True,True,0.0,19919
Q115,aggregation,278.21,HIGH,1.0,True,True,0.0,594745
Q051,aggregation,5.03,HIGH,1.0,True,True,0.0,19919
Q042,aggregation,10.03,HIGH,1.0,True,True,0.0,19919
Q043,aggregation,40.24,HIGH,1.0,True,True,0.0,148465
Q044,aggregation,134.49,HIGH,1.0,True,False,0.0,594745
Q045,aggregation,39.0,HIGH,1.0,True,True,0.0,148465
Q048,aggregation,3.96,HIGH,1.0,True,True,0.0,14892
Q049,aggregation,5.1,HIGH,1.0,True,True,0.0,14892
Q050,aggregation,228.0,HIGH,1.0,True,True,0.0,594745
Q052,aggregation,6.25,HIGH,1.0,True,True,0.0,19919
Q040,aggregation,224.87,HIGH,1.0,True,False,0.0,594745
Q055,aggregation,182.06,HIGH,1.0,True,True,0.0,594745
Q056,aggregation,5.22,HIGH,1.0,True,True,0.0,19919
Q057,aggregation,48.0,HIGH,1.0,True,True,0.0,148465
Q058,aggregation,134.87,HIGH,1.0,True,True,0.0,594745
Q061,aggregation,152.84,HIGH,1.0,True,True,0.5,148466
Q062,aggregation,115.07,HIGH,1.0,True,True,0.0,148465
Q063,aggregation,292.59,HIGH,1.0,True,True,0.0,594745
Q041,aggregation,0.68,HIGH,1.0,True,True,0.0,1000
Q039,aggregation,196.75,HIGH,1.0,True,True,0.0,594745
Q114,aggregation,6.78,HIGH,1.0,True,True,0.0,19919
Q020,aggregation,2.61,HIGH,1.0,True,False,0.0,14892
Q011,aggregation,0.32,HIGH,1.0,True,False,0.0,0
Q012,aggregation,84.92,HIGH,1.0,True,False,0.0,594745
Q013,aggregation,81.27,HIGH,1.0,True,False,0.0,594745
Q014,aggregation,82.32,HIGH,1.0,True,False,0.0,594745
Q015,aggregation,3.41,HIGH,1.0,True,False,0.0,19919
Q016,aggregation,112.82,HIGH,1.0,True,False,0.0,594745
Q017,aggregation,2.2,HIGH,1.0,True,False,0.0,14892
Q021,aggregation,32.15,HIGH,1.0,True,False,0.0,148465
Q038,aggregation,196.72,HIGH,1.0,True,True,0.0,594745
Q022,aggregation,133.32,HIGH,1.0,True,False,0.0,594745
Q026,aggregation,25.56,HIGH,1.0,True,False,0.0,148465
Q028,aggregation,0.33,HIGH,1.0,True,False,0.0,1000
Q029,aggregation,101.89,HIGH,1.0,True,False,0.0,594745
Q034,aggregation,5.37,HIGH,1.0,True,True,0.0,19919
Q035,aggregation,26.21,HIGH,1.0,True,True,0.0,82490
Q037,aggregation,37.56,HIGH,1.0,True,True,0.0,148465
Q064,aggregation,150.44,HIGH,1.0,True,True,0.0,82490
Q065,aggregation,8.19,HIGH,1.0,True,True,0.0,19919
Q066,aggregation,1041.25,HIGH,1.0,True,True,0.5,19948
Q102,aggregation,237.06,HIGH,1.0,True,True,0.0,594745
Q089,aggregation,273.3,HIGH,1.0,True,True,0.0,594745
Q090,aggregation,172.43,HIGH,1.0,True,True,0.0,594745
Q092,aggregation,31.12,HIGH,1.0,True,True,0.0,82490
Q094,aggregation,235.3,HIGH,1.0,True,True,0.0,594745
Q097,aggregation,4.75,HIGH,1.0,True,True,0.0,19919
Q099,aggregation,40.94,HIGH,1.0,True,True,0.0,164980
Q100,aggregation,12.03,HIGH,1.0,True,True,0.0,82490
Q103,aggregation,11.78,HIGH,1.0,True,True,0.0,19919
Q067,aggregation,144.36,HIGH,1.0,True,True,0.5,148466
Q104,aggregation,38.94,HIGH,1.0,True,True,0.0,148465
Q192,aggregation,273.26,HIGH,1.0,True,True,0.8,19925
Q106,aggregation,307.51,HIGH,1.0,True,True,0.0,594745
Q107,aggregation,49.93,HIGH,1.0,True,True,0.0,148465
Q108,aggregation,0.58,HIGH,1.0,True,True,0.0,1000
Q109,aggregation,8.32,HIGH,1.0,True,True,0.0,29784
Q112,aggregation,57.68,HIGH,1.0,True,True,0.0,148465
Q088,aggregation,13.26,HIGH,1.0,True,True,0.333,625
Q087,aggregation,526.3,HIGH,1.0,True,True,0.6,643
Q086,aggregation,150.85,HIGH,1.0,True,True,0.5,148466
Q085,aggregation,24.81,HIGH,1.0,True,True,0.0,19919
Q068,aggregation,243.68,HIGH,1.0,True,True,0.0,594745
Q069,aggregation,191.62,HIGH,1.0,True,True,0.667,634
Q070,aggregation,273.2,HIGH,1.0,True,True,0.0,594745
Q071,aggregation,46.04,HIGH,1.0,True,True,0.0,148465
Q072,aggregation,7.0,HIGH,1.0,True,True,0.0,14892
Q073,aggregation,175.88,HIGH,1.0,True,True,0.5,639
Q074,aggregation,6.55,HIGH,1.0,True,True,0.0,19919
Q075,aggregation,382.06,HIGH,1.0,True,True,0.5,148469
Q076,aggregation,167.94,HIGH,1.0,True,True,0.75,19924
Q078,aggregation,895.75,HIGH,1.0,True,True,0.5,19948
Q079,aggregation,64.77,HIGH,1.0,True,True,0.0,148465
Q080,aggregation,351.97,HIGH,1.0,True,True,0.0,594745
Q081,aggregation,166.39,HIGH,1.0,True,True,0.8,19925
Q082,aggregation,339.15,HIGH,1.0,True,True,0.0,594745
Q083,aggregation,12.71,HIGH,1.0,True,True,0.0,19919
Q191,aggregation,304.87,HIGH,1.0,True,True,0.5,639
Q001,single_table_filters,333.08,HIGH,1.0,True,False,0.0,148465
Q193,aggregation,684.84,HIGH,1.0,True,True,0.75,148471
Q137,complex_queries,269.19,HIGH,1.0,True,True,0.667,296940
Q128,complex_queries,1250.91,HIGH,1.0,True,True,0.0,1189490
Q129,complex_queries,1056.11,HIGH,1.0,True,True,0.333,615470
Q131,complex_queries,1071.22,HIGH,1.0,True,True,0.333,757090
Q132,complex_queries,89.31,HIGH,1.0,True,True,0.667,164981
Q133,complex_queries,253.3,HIGH,1.0,True,True,0.0,296930
Q134,complex_queries,867.53,HIGH,1.0,True,True,0.4,1784237
Q135,complex_queries,360.72,HIGH,1.0,True,True,0.5,221044
Q136,complex_queries,274.94,HIGH,1.0,True,True,0.0,1189490
Q138,complex_queries,268.16,HIGH,1.0,True,True,0.0,296930
Q126,complex_queries,170.44,HIGH,1.0,True,True,0.667,296931
Q139,complex_queries,209.99,HIGH,1.0,True,True,0.4,110844
Q141,complex_queries,1410.82,HIGH,1.0,True,True,0.667,757090
Q142,complex_queries,364.51,HIGH,1.0,True,True,0.0,593860
Q143,complex_queries,240.23,HIGH,1.0,True,True,0.0,1784235
Q144,complex_queries,512.32,HIGH,1.0,True,True,0.25,1784245
Q145,complex_queries,261.04,HIGH,1.0,True,True,0.5,678912
Q146,complex_queries,114.08,HIGH,1.0,True,True,0.5,148479
Q147,complex_queries,55.22,HIGH,1.0,True,True,0.0,39838
Q127,complex_queries,191.68,HIGH,1.0,True,True,0.4,110844
Q125,complex_queries,177.52,HIGH,1.0,True,True,0.667,148476
Q149,complex_queries,2648.11,HIGH,1.0,True,True,0.5,148479
Q113,complex_queries,298.23,HIGH,1.0,True,True,0.0,1189490
Q104,complex_queries,837.41,HIGH,1.0,True,True,0.8,759755
Q105,complex_queries,251.79,HIGH,1.0,True,True,0.4,678911
Q106,complex_queries,245.18,HIGH,1.0,True,True,0.4,110844
Q107,complex_queries,891.49,HIGH,1.0,True,True,0.0,296930
Q108,complex_queries,923.98,HIGH,1.0,True,True,0.667,1189491
Q109,complex_queries,160.36,HIGH,1.0,True,True,0.5,148466
Q110,complex_queries,991.72,HIGH,1.0,True,True,0.5,1189492
Q112,complex_queries,161.19,HIGH,1.0,True,True,0.333,445395
Q114,complex_queries,167.62,HIGH,1.0,True,True,0.5,296930
Q124,complex_queries,443.3,HIGH,1.0,True,True,0.8,154581
Q116,complex_queries,184.5,HIGH,1.0,True,True,0.333,596339
Q117,complex_queries,2409.98,HIGH,1.0,True,True,0.929,905577
Q118,complex_queries,35.53,HIGH,1.0,True,True,0.5,296930
Q119,complex_queries,1194.18,HIGH,1.0,True,True,0.5,19948
Q120,complex_queries,58.46,HIGH,1.0,True,True,0.333,296931
Q121,complex_queries,224.51,HIGH,1.0,True,True,0.25,1784236
Q122,complex_queries,168.31,HIGH,1.0,True,True,0.333,296931
Q123,complex_queries,330.04,HIGH,1.0,True,True,0.0,594745
Q148,complex_queries,69.44,HIGH,1.0,True,True,0.333,2001
Q150,complex_queries,156.66,HIGH,1.0,True,True,0.5,82493
Q102,complex_queries,131.83,HIGH,1.0,True,True,0.5,164982
Q190,complex_queries,372.71,HIGH,1.0,True,True,0.75,594748
Q180,complex_queries,320.23,HIGH,1.0,True,True,0.4,110844
Q182,complex_queries,1467.22,HIGH,1.0,True,True,0.571,452423
Q183,complex_queries,163.35,HIGH,1.0,True,True,0.5,296930
Q184,complex_queries,985.87,HIGH,1.0,True,True,0.5,1209438
Q185,complex_queries,628.78,HIGH,1.0,True,True,0.4,891686
Q186,complex_queries,155.19,HIGH,1.0,True,True,0.5,164982
Q188,complex_queries,1177.99,HIGH,1.0,True,True,0.8,757092
Q189,complex_queries,605.94,HIGH,1.0,True,True,0.5,452422
Q191,complex_queries,46.39,HIGH,1.0,True,True,0.0,445395
Q178,complex_queries,258.01,HIGH,1.0,True,True,0.75,296932
Q192,complex_queries,827.42,HIGH,1.0,True,True,0.8,759740
Q193,complex_queries,188.92,HIGH,1.0,True,True,0.333,296931
Q194,complex_queries,967.16,HIGH,1.0,True,True,0.8,759755
Q195,complex_queries,571.59,HIGH,1.0,True,True,0.5,148469
Q196,complex_queries,4779.9,HIGH,1.0,True,True,0.333,440823240
Q197,complex_queries,642.43,HIGH,1.0,True,True,0.0,594745
Q198,complex_queries,3004.29,HIGH,1.0,True,True,0.625,763184
Q199,complex_queries,1479.87,HIGH,1.0,True,True,0.75,757091
Q179,complex_queries,1150.48,HIGH,1.0,True,True,0.8,759755
Q177,complex_queries,673.53,HIGH,1.0,True,True,0.8,757092
Q151,complex_queries,3604.72,HIGH,1.0,True,True,0.667,1215
Q164,complex_queries,136.84,HIGH,1.0,True,True,0.75,646
Q152,complex_queries,1291.29,HIGH,1.0,True,True,0.778,154609
Q153,complex_queries,19.61,HIGH,1.0,True,True,0.0,39838
Q154,complex_queries,62.7,HIGH,1.0,True,True,0.5,148479
Q155,complex_queries,178.62,HIGH,1.0,True,True,0.5,82493
Q157,complex_queries,41188.21,HIGH,1.0,True,True,0.0,39838
Q160,complex_queries,333.61,HIGH,1.0,True,True,0.4,221688
Q161,complex_queries,3.34,HIGH,1.0,True,True,0.778,420
Q163,complex_queries,53.99,HIGH,1.0,True,True,0.833,640
Q165,complex_queries,217.2,HIGH,1.0,True,True,0.833,19954
Q176,complex_queries,1862.72,HIGH,1.0,True,True,0.333,757090
Q167,complex_queries,187.98,HIGH,1.0,True,True,0.333,165032
Q168,complex_queries,179.48,HIGH,1.0,True,True,0.5,594746
Q169,complex_queries,185.55,HIGH,1.0,True,True,0.667,235316
Q171,complex_queries,70.24,HIGH,1.0,True,True,0.6,176633
Q172,complex_queries,20.91,HIGH,1.0,True,True,0.75,4136
Q173,complex_queries,19.62,HIGH,1.0,True,False,0.667,19977
Q174,complex_queries,144.24,HIGH,1.0,True,True,0.75,743215
Q175,complex_queries,9.87,HIGH,1.0,True,False,0.5,19948
Q103,complex_queries,142.01,HIGH,1.0,True,True,0.333,445395
Q101,complex_queries,57.2,HIGH,1.0,True,True,0.0,296930
Q194,aggregation,542.61,HIGH,1.0,True,True,0.0,594745
Q024,complex_queries,618.15,HIGH,1.0,True,True,0.75,148471
Q016,complex_queries,1316.72,HIGH,1.0,True,True,0.857,757094
Q017,complex_queries,35.93,HIGH,1.0,True,True,0.333,29932
Q018,complex_queries,1030.72,HIGH,1.0,True,True,0.5,904202
Q019,complex_queries,279.21,HIGH,1.0,True,True,0.0,1784235
Q020,complex_queries,176.89,HIGH,1.0,True,True,0.5,296930
Q021,complex_queries,17.46,HIGH,1.0,True,True,0.5,157042
Q022,complex_queries,47.77,HIGH,1.0,True,True,0.0,296930
Q023,complex_queries,824.4,HIGH,1.0,True,True,0.5,674139
Q025,complex_queries,146.09,HIGH,1.0,True,True,0.5,296930
Q014,complex_queries,70.85,HIGH,1.0,True,True,0.0,296930
Q026,complex_queries,21.51,HIGH,1.0,True,True,0.5,148532
Q027,complex_queries,70688.32,HIGH,1.0,True,True,0.0,39838
Q028,complex_queries,96.84,HIGH,1.0,True,True,0.667,329962
Q029,complex_queries,361.38,HIGH,1.0,True,True,0.667,2378982
Q030,complex_queries,15.01,HIGH,1.0,True,True,0.333,15512
Q032,complex_queries,306.68,HIGH,1.0,True,True,0.667,460298
Q033,complex_queries,92.35,HIGH,1.0,True,True,0.333,164981
Q034,complex_queries,24471.09,HIGH,1.0,True,True,0.5,594774
Q015,complex_queries,210.39,HIGH,1.0,True,True,0.0,296930
Q013,complex_queries,233.55,HIGH,1.0,True,True,0.4,110844
Q036,complex_queries,2106.73,HIGH,1.0,True,True,0.4,635418
Q002,complex_queries,261.98,HIGH,1.0,True,True,0.4,678911
Q195,aggregation,1187.84,HIGH,1.0,True,True,0.5,594746
Q009,aggregation,8.8,HIGH,1.0,True,False,0.0,82490
Q196,aggregation,1690.68,HIGH,1.0,True,True,0.833,148473
Q197,aggregation,171.01,HIGH,1.0,True,True,0.333,296931
Q198,aggregation,165.55,HIGH,1.0,True,True,0.75,82493
Q199,aggregation,100.88,HIGH,1.0,True,True,0.0,148465
Q200,aggregation,1767.58,HIGH,1.0,True,True,0.6,643
Q001,complex_queries,159.61,HIGH,1.0,True,True,0.667,296931
Q003,complex_queries,300.14,HIGH,1.0,True,True,0.5,296932
Q012,complex_queries,165.17,HIGH,1.0,True,True,0.8,320769
Q004,complex_queries,1040.06,HIGH,1.0,True,True,0.8,759755
Q005,complex_queries,181.93,HIGH,1.0,True,True,0.667,163367
Q006,complex_queries,532.87,HIGH,1.0,True,True,0.5,452422
Q007,complex_queries,58.17,HIGH,1.0,True,True,0.0,296930
Q008,complex_queries,873.04,HIGH,1.0,True,True,0.333,1784238
Q009,complex_queries,16.13,HIGH,1.0,True,True,0.5,296930
Q010,complex_queries,2466.22,HIGH,1.0,True,True,0.5,615471
Q011,complex_queries,167.92,HIGH,1.0,True,True,0.5,445396
Q035,complex_queries,2890.25,HIGH,1.0,True,True,0.5,148479
Q038,complex_queries,149.89,HIGH,1.0,True,False,0.5,83494
Q097,complex_queries,203.67,HIGH,1.0,True,True,0.333,1189491
Q078,complex_queries,181.85,HIGH,1.0,True,True,0.667,644
Q069,complex_queries,301.52,HIGH,1.0,True,True,0.0,1189490
Q071,complex_queries,53.73,HIGH,1.0,True,False,0.5,16145
Q072,complex_queries,105.62,HIGH,1.0,True,True,0.571,296934
Q073,complex_queries,6.01,HIGH,1.0,True,False,0.5,19920
Q074,complex_queries,226.73,HIGH,1.0,True,True,0.333,1189491
Q075,complex_queries,639.34,HIGH,1.0,True,True,0.5,148479
Q076,complex_queries,52.82,HIGH,1.0,True,True,0.333,148466
Q077,complex_queries,108.9,HIGH,1.0,True,False,0.667,595746
Q079,complex_queries,0.4,HIGH,1.0,True,True,0.333,1026
Q067,complex_queries,274.27,HIGH,1.0,True,True,0.8,296938
Q082,complex_queries,21110.92,HIGH,1.0,True,False,0.6,40840
Q084,complex_queries,5.12,HIGH,1.0,True,False,0.5,14893
Q086,complex_queries,113.26,HIGH,1.0,True,False,0.667,594766
Q088,complex_queries,0.9,HIGH,1.0,True,True,0.5,1622
Q091,complex_queries,21.39,HIGH,1.0,True,False,0.667,148486
Q093,complex_queries,425.03,HIGH,1.0,True,True,0.5,148479
Q094,complex_queries,0.47,HIGH,1.0,True,True,0.333,1026
Q095,complex_queries,202.81,HIGH,1.0,True,True,0.625,650
Q068,complex_queries,3.66,HIGH,1.0,True,True,0.143,1655
Q066,complex_queries,5024.88,HIGH,1.0,True,True,0.4,296958
Q041,complex_queries,33.68,HIGH,1.0,True,True,0.667,235563
Q054,complex_queries,97.07,HIGH,1.0,True,True,0.667,311824
Q042,complex_queries,1620.46,HIGH,1.0,True,True,0.667,83129
Q044,complex_queries,2605.33,HIGH,1.0,True,True,0.667,148493
Q046,complex_queries,168.87,HIGH,1.0,True,True,0.333,311776
Q047,complex_queries,471.85,HIGH,1.0,True,False,0.333,1192678
Q048,complex_queries,5.57,HIGH,1.0,True,True,0.333,29785
Q049,complex_queries,251.78,HIGH,1.0,True,True,0.5,594750
Q051,complex_queries,29.45,HIGH,1.0,True,True,0.4,1621
Q052,complex_queries,170.73,HIGH,1.0,True,True,0.4,178259
Q055,complex_queries,71.78,HIGH,1.0,True,True,0.0,296930
Q065,complex_queries,307.71,HIGH,1.0,True,True,0.0,1784235
Q056,complex_queries,4.08,HIGH,1.0,True,True,0.5,1628
Q057,complex_queries,335.67,HIGH,1.0,True,True,0.0,1189490
Q058,complex_queries,128.18,HIGH,1.0,True,True,0.333,600301
Q059,complex_queries,1572.8,HIGH,1.0,True,True,0.615,20600
Q060,complex_queries,1.31,HIGH,1.0,True,True,0.0,2060
Q061,complex_queries,600.4,HIGH,1.0,True,True,0.75,230963
Q062,complex_queries,1749.31,HIGH,1.0,True,True,0.4,39896
Q064,complex_queries,56.01,HIGH,1.0,True,True,0.6,17170
Q010,aggregation,9.82,HIGH,1.0,True,False,0.0,82490
Q193,three_table_joins,488.22,HIGH,1.0,True,True,0.667,148470
Q007,aggregation,83.13,HIGH,1.0,True,False,0.0,594745
Q100,two_table_joins,170.51,HIGH,1.0,True,False,0.5,594746
Q059,two_table_joins,119.48,HIGH,1.0,True,False,0.5,14906
Q060,two_table_joins,116.39,HIGH,1.0,True,False,0.5,14906
Q061,two_table_joins,111.13,HIGH,1.0,True,False,0.5,14906
Q062,two_table_joins,106.75,HIGH,1.0,True,False,0.5,14906
Q063,two_table_joins,169.77,HIGH,1.0,True,False,0.5,14906
Q064,two_table_joins,149.45,HIGH,1.0,True,False,0.5,14906
Q065,two_table_joins,140.68,HIGH,1.0,True,False,0.5,14906
Q066,two_table_joins,99.21,HIGH,1.0,True,False,0.5,148466
Q067,two_table_joins,83.98,HIGH,1.0,True,False,0.5,148466
Q068,two_table_joins,49.33,HIGH,1.0,True,False,0.5,148466
Q075,two_table_joins,5.69,HIGH,1.0,True,False,0.5,14906
Q076,two_table_joins,8.73,HIGH,1.0,True,False,0.5,14906
Q077,two_table_joins,16.41,HIGH,1.0,True,False,0.5,14906
Q095,two_table_joins,177.9,HIGH,1.0,True,False,0.5,594746
Q096,two_table_joins,177.47,HIGH,1.0,True,False,0.5,594746
Q097,two_table_joins,232.97,HIGH,1.0,True,False,0.5,594746
Q098,two_table_joins,329.46,HIGH,1.0,True,False,0.5,594746
Q058,two_table_joins,126.64,HIGH,1.0,True,False,0.5,148466
Q057,two_table_joins,132.62,HIGH,1.0,True,False,0.5,148466
Q056,two_table_joins,136.29,HIGH,1.0,True,False,0.5,148466
Q036,two_table_joins,172.06,HIGH,1.0,True,False,0.5,14906
Q012,two_table_joins,136.53,HIGH,1.0,True,False,0.5,14906
Q014,two_table_joins,136.35,HIGH,1.0,True,False,0.5,14906
Q023,two_table_joins,344.65,HIGH,1.0,True,False,0.5,594746
Q030,two_table_joins,66.04,HIGH,1.0,True,False,0.5,19922
Q032,two_table_joins,65.99,HIGH,1.0,True,False,0.5,82491
Q033,two_table_joins,45.75,HIGH,1.0,True,False,0.5,82491
Q035,two_table_joins,59.95,HIGH,1.0,True,False,0.5,82491
Q039,two_table_joins,50.16,HIGH,1.0,True,False,0.5,82491
Q055,two_table_joins,139.21,HIGH,1.0,True,False,0.5,148466
Q040,two_table_joins,185.99,HIGH,1.0,True,True,0.5,148466
Q046,two_table_joins,120.32,HIGH,1.0,True,True,0.5,82491
Q047,two_table_joins,76.13,HIGH,1.0,True,True,0.5,82491
Q048,two_table_joins,0.37,HIGH,1.0,True,False,0.5,14906
Q049,two_table_joins,0.34,HIGH,1.0,True,False,0.5,14906
Q053,two_table_joins,0.71,HIGH,1.0,True,False,0.5,82491
Q054,two_table_joins,148.02,HIGH,1.0,True,False,0.5,148466
Q099,two_table_joins,221.19,HIGH,1.0,True,False,0.5,594746
Q123,two_table_joins,63.9,HIGH,1.0,True,False,0.5,82491
Q010,two_table_joins,72.06,HIGH,1.0,True,False,0.5,148466
Q124,two_table_joins,33.31,HIGH,1.0,True,False,0.5,82491
Q157,two_table_joins,223.73,HIGH,1.0,True,False,0.5,148466
Q158,two_table_joins,151.68,HIGH,1.0,True,False,0.5,148466
Q163,two_table_joins,74.9,HIGH,1.0,True,False,0.5,82491
Q164,two_table_joins,26.45,HIGH,1.0,True,False,0.5,14906
Q165,two_table_joins,114.06,HIGH,1.0,True,False,0.5,148466
Q167,two_table_joins,29.69,HIGH,1.0,True,False,0.5,19922
